id,name,review_count,rating,coordinates
g2u3_cTrHjOMvCLD1vXybw,Stockyard Burgers and Bones,842,4.0,"{'latitude': 33.9532241963646, 'longitude': -84.5516076147987}"
BSaM6ogkRpIXGiQ4prlJFw,Hamp & Harry’s,26,4.5,"{'latitude': 33.95197338210549, 'longitude': -84.54830738444345}"
e_roK7nT_2ZxXvTM-9Yr_w,Two Birds Taphouse,334,4.5,"{'latitude': 33.9507, 'longitude': -84.55044}"
GPfLE1eRFwCmfojRIHpGZA,Mac's Chophouse,168,4.0,"{'latitude': 33.953514, 'longitude': -84.550084}"
jBH7D7meNxGQNqOMd6z26g,WEI Authentic Chinese Cuisine,132,4.0,"{'latitude': 33.951084, 'longitude': -84.55144}"
leckMhkPUUZem_Kf1QhXLA,La Cubana,286,4.5,"{'latitude': 33.9507875269018, 'longitude': -84.5514794146625}"
yvO686_POKKrsd47SvFkoA,Taqueria Tsunami,839,4.5,"{'latitude': 33.9522709, 'longitude': -84.5498415}"
anOw5CQJOpdgUwxBe_JujQ,Mezza Luna Pasta and Seafood - Marietta,182,4.5,"{'latitude': 33.9671278, 'longitude': -84.48944513}"
r_o61c3oEh97VXF1kufEnQ,Spring,159,4.5,"{'latitude': 33.9535206583062, 'longitude': -84.5508521935943}"
ZcjlR4y8DSpqf7aW3T96BQ,Piastra,199,4.0,"{'latitude': 33.953037, 'longitude': -84.55046}"
cLTRG11Euwj6Z_LSLyPl2w,The Red Eyed Mule,735,4.5,"{'latitude': 33.94293, 'longitude': -84.54018}"
pZe89ewsEYlvtlMW4PkhNQ,Marietta Square Market,112,4.0,"{'latitude': 33.9541894, 'longitude': -84.5514571}"
MRkQaXUrnAegDVnuKop3sw,The Marietta Local,627,4.5,"{'latitude': 33.9520084, 'longitude': -84.5488322}"
h9bmhBXJkmAAvrIrQi2B9A,Sushiology,473,4.5,"{'latitude': 33.994634, 'longitude': -84.592345}"
yC9Ek9yyMRT_96bt6BsRBQ,WR Social House,243,3.5,"{'latitude': 33.9533493761151, 'longitude': -84.5499380305409}"
hpCaOrWDM61_v5KRY4mfsg,Thaicoon Marietta,387,4.0,"{'latitude': 33.9534399475429, 'longitude': -84.5509597312433}"
3JVxA87oRbbMDG9KIMmjAg,Mac's Raw Bar & Market,1,5.0,"{'latitude': 33.95352, 'longitude': -84.55003}"
zd3sFcb2AJcFvUuRVPgiIw,Shai Karr Eatery,25,4.5,"{'latitude': 33.9542743, 'longitude': -84.5515465932541}"
0puGNFS0fGontGSkFcDvwg,Good Kitchen+Market,188,4.5,"{'latitude': 33.96607, 'longitude': -84.54877}"
V0r8t-GBhyAFvrIh2wIiqA,On North Eatery & Bar,93,4.0,"{'latitude': 33.95354, 'longitude': -84.54928}"
B1utosVn_70fiRUxJQRKgA,The White Bull,299,4.5,"{'latitude': 33.775061, 'longitude': -84.295804}"
KWv9pp8Jo6O2GkfFb9OLlg,Leon's Full Service,1059,4.0,"{'latitude': 33.775501989278, 'longitude': -84.2951466792275}"
